[INFO ] [2022-03-19 09:21:43,341] Register: Step_01: Click to Register Link
[2022-03-19 10:14:05,279] Login: Step_07: Verify Customer Info Displayed
[2022-03-19 10:14:05,404]  -------------------------- PASSED -------------------------- 
[2022-03-19 10:14:15,661] Register: Step_01: Click to Register Link
[2022-03-19 10:14:16,842] Register: Step_02: Enter to FirstName Textbox with value 'Hanh'
[2022-03-19 10:14:16,955] Register: Step_03: Enter to LastName Textbox with value 'Dao'
[2022-03-19 10:14:17,259] Register: Step_04: Enter to Email Textbox with value 'afc40234@gmail.net'
[2022-03-19 10:14:17,382] Register: Step_05: Enter to Password Textbox with value '12345678@Abc'
[2022-03-19 10:14:17,489] Register: Step_06: Enter to Confirm Password Textbox with value '12345678@Abc'
[2022-03-19 10:14:17,609] Register: Step_07: Click to Register Button
[2022-03-19 10:14:19,028] Register: Step_08: Verify Success Register Message Displayed
[2022-03-19 10:14:19,100]  -------------------------- PASSED -------------------------- 
[2022-03-19 10:14:20,017] Login: Step_01: Click to Login Link
[2022-03-19 10:14:21,023] Login: Step_02: Enter to Email Textbox with value 'afc40234@gmail.net'
[2022-03-19 10:14:21,122] Login: Step_03: Enter to Password Textbox with value '12345678@Abc'
[2022-03-19 10:14:21,200] Login: Step_04: Click to Login Button
[2022-03-19 10:14:22,179] Login: Step_05: Verify My Account Link Displayed
[2022-03-19 10:14:22,284]  -------------------------- PASSED -------------------------- 
[2022-03-19 10:14:22,284] Login: Step_06: Click to My Account Link
[2022-03-19 10:14:23,329] Login: Step_07: Verify Customer Info Displayed
[2022-03-19 10:14:23,423]  -------------------------- PASSED -------------------------- 
[2022-03-19 11:27:21,398] Register: Step_01: Click to Register Link
[2022-03-19 11:27:22,682] Register: Step_02: Enter to FirstName Textbox with value 'Hanh'
[2022-03-19 11:27:22,826] Register: Step_03: Enter to LastName Textbox with value 'Dao'
[2022-03-19 11:27:22,936] Register: Step_04: Enter to Email Textbox with value 'afc59437@gmail.net'
[2022-03-19 11:27:23,059] Register: Step_05: Enter to Password Textbox with value '12345678@Abc'
[2022-03-19 11:27:23,163] Register: Step_06: Enter to Confirm Password Textbox with value '12345678@Abc'
[2022-03-19 11:27:23,281] Register: Step_07: Click to Register Button
[2022-03-19 11:27:24,873] Register: Step_08: Verify Success Register Message Displayed
[2022-03-19 11:27:24,953]  -------------------------- FAILED -------------------------- 
[2022-03-19 11:27:26,306] Login: Step_01: Click to Login Link
[2022-03-19 11:27:27,602] Login: Step_02: Enter to Email Textbox with value 'afc59437@gmail.net'
[2022-03-19 11:27:27,722] Login: Step_03: Enter to Password Textbox with value '12345678@Abc'
[2022-03-19 11:27:27,805] Login: Step_04: Click to Login Button
[2022-03-19 11:27:28,777] Login: Step_05: Verify My Account Link Displayed
[2022-03-19 11:27:28,883]  -------------------------- FAILED -------------------------- 
[2022-03-19 11:27:28,883] Login: Step_06: Click to My Account Link
[2022-03-19 11:27:30,041] Login: Step_07: Verify Customer Info Displayed
[2022-03-19 11:27:30,130]  -------------------------- FAILED -------------------------- 
[2022-03-19 11:37:49,909] Register: Step_01: Click to Register Link
[2022-03-19 11:37:51,115] Register: Step_02: Enter to FirstName Textbox with value 'Hanh'
[2022-03-19 11:37:51,262] Register: Step_03: Enter to LastName Textbox with value 'Dao'
[2022-03-19 11:37:51,355] Register: Step_04: Enter to Email Textbox with value 'afc98796@gmail.net'
[2022-03-19 11:37:51,473] Register: Step_05: Enter to Password Textbox with value '12345678@Abc'
[2022-03-19 11:37:51,572] Register: Step_06: Enter to Confirm Password Textbox with value '12345678@Abc'
[2022-03-19 11:37:51,676] Register: Step_07: Click to Register Button
[2022-03-19 11:37:52,950] Register: Step_08: Verify Success Register Message Displayed
[2022-03-19 11:37:53,753] Login: Step_01: Click to Login Link
[2022-03-19 12:20:27,046] Register: Step_01: Click to Register Link
[2022-03-19 12:20:28,205] Register: Step_02: Enter to FirstName Textbox with value 'Hanh'
[2022-03-19 12:20:28,373] Register: Step_03: Enter to LastName Textbox with value 'Dao'
[2022-03-19 12:20:28,500] Register: Step_04: Enter to Email Textbox with value 'afc10557@gmail.net'
[2022-03-19 12:20:28,653] Register: Step_05: Enter to Password Textbox with value '12345678@Abc'
[2022-03-19 12:20:28,776] Register: Step_06: Enter to Confirm Password Textbox with value '12345678@Abc'
[2022-03-19 12:20:28,899] Register: Step_07: Click to Register Button
[2022-03-19 12:20:30,315] Register: Step_08: Verify Success Register Message Displayed
[2022-03-19 12:20:30,410] Login: Step_01: Click to Login Link
[2022-03-19 12:20:32,284] Login: Step_02: Enter to Email Textbox with value 'afc10557@gmail.net'
[2022-03-19 12:20:32,391] Login: Step_03: Enter to Password Textbox with value '12345678@Abc'
[2022-03-19 12:20:32,476] Login: Step_04: Click to Login Button
[2022-03-19 12:20:33,782] Login: Step_05: Verify My Account Link Displayed
[2022-03-19 12:55:20,745] Register: Step_01: Click to Register Link
[2022-03-19 12:55:22,311] Register: Step_02: Enter to FirstName Textbox with value 'Hanh'
[2022-03-19 12:55:22,454] Register: Step_03: Enter to LastName Textbox with value 'Dao'
[2022-03-19 12:55:22,559] Register: Step_04: Enter to Email Textbox with value 'afc42676@gmail.net'
[2022-03-19 12:55:22,671] Register: Step_05: Enter to Password Textbox with value '12345678@Abc'
[2022-03-19 12:55:22,765] Register: Step_06: Enter to Confirm Password Textbox with value '12345678@Abc'
[2022-03-19 12:55:22,864] Register: Step_07: Click to Register Button
[2022-03-19 12:55:24,549] Register: Step_08: Verify Success Register Message Displayed
[2022-03-22 21:11:29,120] Pre-condition: Step_01: Click to Login Link
[2022-03-22 21:11:32,422] Pre-condition: Step_02: Set Cookies and reload page
[2022-03-22 21:11:36,604] Pre-condition: Step_03: Verify My Account Link Displayed
[2022-03-22 21:15:30,583] Pre-condition: Step_01: Click to Login Link
[2022-03-22 21:15:32,299] Pre-condition: Step_02: Set Cookies and reload page
[2022-03-22 21:15:37,407] Pre-condition: Step_03: Verify My Account Link Displayed
[2022-03-22 21:21:28,566] Pre-condition: Step_01: Click to Login Link
[2022-03-22 21:21:30,746] Pre-condition: Step_02: Set Cookies and reload page
[2022-03-22 21:21:36,936] Pre-condition: Step_03: Verify My Account Link Displayed
[2022-03-22 21:21:37,048]  -------------------------- PASSED -------------------------- 
[2022-03-22 21:24:18,353] Login: Step_01: Click to Login Link
[2022-03-22 21:24:21,353] Login: Step_02: Enter to Email Textbox with value 'afc98088@gmail.net'
[2022-03-22 21:24:21,468] Login: Step_03: Enter to Password Textbox with value '12345678@Abc'
[2022-03-22 21:24:21,570] Login: Step_04: Click to Login Button
